
--- TRAIN SPLIT (4800 samples) ---
ID: scene00000 | Difficulty: 2.0 | Files: scene00000_horizontalOnly_rot_binaural.npz -> scene00000_horizontalOnly_AMBIX.npy
ID: scene00028 | Difficulty: 2.0 | Files: scene00028_horizontalOnly_rot_binaural.npz -> scene00028_horizontalOnly_AMBIX.npy
ID: scene00029 | Difficulty: 5.0 | Files: scene00029_horizontalOnly_rot_binaural.npz -> scene00029_horizontalOnly_AMBIX.npy
ID: scene00030 | Difficulty: 2.0 | Files: scene00030_horizontalOnly_rot_binaural.npz -> scene00030_horizontalOnly_AMBIX.npy
ID: scene00031 | Difficulty: 2.0 | Files: scene00031_horizontalOnly_rot_binaural.npz -> scene00031_horizontalOnly_AMBIX.npy
ID: scene00032 | Difficulty: 4.0 | Files: scene00032_horizontalOnly_rot_binaural.npz -> scene00032_horizontalOnly_AMBIX.npy
ID: scene00033 | Difficulty: 2.0 | Files: scene00033_horizontalOnly_rot_binaural.npz -> scene00033_horizontalOnly_AMBIX.npy
ID: scene00034 | Difficulty: 1.0 | Files: scene00034_horizontalOnly_rot_binaural.npz -> scene00034_horizontalOnly_AMBIX.npy
ID: scene00035 | Difficulty: 4.0 | Files: scene00035_horizontalOnly_rot_binaural.npz -> scene00035_horizontalOnly_AMBIX.npy
ID: scene00036 | Difficulty: 2.0 | Files: scene00036_horizontalOnly_rot_binaural.npz -> scene00036_horizontalOnly_AMBIX.npy
ID: scene00037 | Difficulty: 3.0 | Files: scene00037_horizontalOnly_rot_binaural.npz -> scene00037_horizontalOnly_AMBIX.npy
ID: scene00038 | Difficulty: 2.0 | Files: scene00038_horizontalOnly_rot_binaural.npz -> scene00038_horizontalOnly_AMBIX.npy
ID: scene00039 | Difficulty: 2.0 | Files: scene00039_horizontalOnly_rot_binaural.npz -> scene00039_horizontalOnly_AMBIX.npy
ID: scene00040 | Difficulty: 2.0 | Files: scene00040_horizontalOnly_rot_binaural.npz -> scene00040_horizontalOnly_AMBIX.npy
ID: scene00041 | Difficulty: 3.0 | Files: scene00041_horizontalOnly_rot_binaural.npz -> scene00041_horizontalOnly_AMBIX.npy
ID: scene00042 | Difficulty: 2.0 | Files: scene00042_horizontalOnly_rot_binaural.npz -> scene00042_horizontalOnly_AMBIX.npy
ID: scene00043 | Difficulty: 3.0 | Files: scene00043_horizontalOnly_rot_binaural.npz -> scene00043_horizontalOnly_AMBIX.npy
ID: scene00044 | Difficulty: 2.0 | Files: scene00044_horizontalOnly_rot_binaural.npz -> scene00044_horizontalOnly_AMBIX.npy
ID: scene00045 | Difficulty: 1.0 | Files: scene00045_horizontalOnly_rot_binaural.npz -> scene00045_horizontalOnly_AMBIX.npy
ID: scene00046 | Difficulty: 2.0 | Files: scene00046_horizontalOnly_rot_binaural.npz -> scene00046_horizontalOnly_AMBIX.npy
ID: scene00047 | Difficulty: 4.0 | Files: scene00047_horizontalOnly_rot_binaural.npz -> scene00047_horizontalOnly_AMBIX.npy
ID: scene00048 | Difficulty: 4.0 | Files: scene00048_horizontalOnly_rot_binaural.npz -> scene00048_horizontalOnly_AMBIX.npy
ID: scene00049 | Difficulty: 2.0 | Files: scene00049_horizontalOnly_rot_binaural.npz -> scene00049_horizontalOnly_AMBIX.npy
ID: scene00050 | Difficulty: 4.0 | Files: scene00050_horizontalOnly_rot_binaural.npz -> scene00050_horizontalOnly_AMBIX.npy
ID: scene00051 | Difficulty: 1.0 | Files: scene00051_horizontalOnly_rot_binaural.npz -> scene00051_horizontalOnly_AMBIX.npy
ID: scene00052 | Difficulty: 1.0 | Files: scene00052_horizontalOnly_rot_binaural.npz -> scene00052_horizontalOnly_AMBIX.npy
ID: scene00053 | Difficulty: 4.0 | Files: scene00053_horizontalOnly_rot_binaural.npz -> scene00053_horizontalOnly_AMBIX.npy
ID: scene00054 | Difficulty: 2.0 | Files: scene00054_horizontalOnly_rot_binaural.npz -> scene00054_horizontalOnly_AMBIX.npy
ID: scene00055 | Difficulty: 1.0 | Files: scene00055_horizontalOnly_rot_binaural.npz -> scene00055_horizontalOnly_AMBIX.npy
ID: scene00056 | Difficulty: 3.0 | Files: scene00056_horizontalOnly_rot_binaural.npz -> scene00056_horizontalOnly_AMBIX.npy
ID: scene00057 | Difficulty: 2.0 | Files: scene00057_horizontalOnly_rot_binaural.npz -> scene00057_horizontalOnly_AMBIX.npy
ID: scene00058 | Difficulty: 6.0 | Files: scene00058_horizontalOnly_rot_binaural.npz -> scene00058_horizontalOnly_AMBIX.npy
ID: scene00059 | Difficulty: 2.0 | Files: scene00059_horizontalOnly_rot_binaural.npz -> scene00059_horizontalOnly_AMBIX.npy
ID: scene00060 | Difficulty: 1.0 | Files: scene00060_horizontalOnly_rot_binaural.npz -> scene00060_horizontalOnly_AMBIX.npy
ID: scene00061 | Difficulty: 3.0 | Files: scene00061_horizontalOnly_rot_binaural.npz -> scene00061_horizontalOnly_AMBIX.npy
ID: scene00062 | Difficulty: 2.0 | Files: scene00062_horizontalOnly_rot_binaural.npz -> scene00062_horizontalOnly_AMBIX.npy
ID: scene00063 | Difficulty: 2.0 | Files: scene00063_horizontalOnly_rot_binaural.npz -> scene00063_horizontalOnly_AMBIX.npy
ID: scene00064 | Difficulty: 1.0 | Files: scene00064_horizontalOnly_rot_binaural.npz -> scene00064_horizontalOnly_AMBIX.npy
ID: scene00065 | Difficulty: 3.0 | Files: scene00065_horizontalOnly_rot_binaural.npz -> scene00065_horizontalOnly_AMBIX.npy
ID: scene00066 | Difficulty: 3.0 | Files: scene00066_horizontalOnly_rot_binaural.npz -> scene00066_horizontalOnly_AMBIX.npy
ID: scene00067 | Difficulty: 4.0 | Files: scene00067_horizontalOnly_rot_binaural.npz -> scene00067_horizontalOnly_AMBIX.npy
ID: scene00068 | Difficulty: 3.0 | Files: scene00068_horizontalOnly_rot_binaural.npz -> scene00068_horizontalOnly_AMBIX.npy
ID: scene00069 | Difficulty: 2.0 | Files: scene00069_horizontalOnly_rot_binaural.npz -> scene00069_horizontalOnly_AMBIX.npy
ID: scene00070 | Difficulty: 3.0 | Files: scene00070_horizontalOnly_rot_binaural.npz -> scene00070_horizontalOnly_AMBIX.npy
ID: scene00071 | Difficulty: 2.0 | Files: scene00071_horizontalOnly_rot_binaural.npz -> scene00071_horizontalOnly_AMBIX.npy
ID: scene00072 | Difficulty: 5.0 | Files: scene00072_horizontalOnly_rot_binaural.npz -> scene00072_horizontalOnly_AMBIX.npy
ID: scene00073 | Difficulty: 5.0 | Files: scene00073_horizontalOnly_rot_binaural.npz -> scene00073_horizontalOnly_AMBIX.npy
ID: scene00074 | Difficulty: 5.0 | Files: scene00074_horizontalOnly_rot_binaural.npz -> scene00074_horizontalOnly_AMBIX.npy
ID: scene00075 | Difficulty: 4.0 | Files: scene00075_horizontalOnly_rot_binaural.npz -> scene00075_horizontalOnly_AMBIX.npy
ID: scene00076 | Difficulty: 1.0 | Files: scene00076_horizontalOnly_rot_binaural.npz -> scene00076_horizontalOnly_AMBIX.npy
ID: scene00077 | Difficulty: 2.0 | Files: scene00077_horizontalOnly_rot_binaural.npz -> scene00077_horizontalOnly_AMBIX.npy
ID: scene00078 | Difficulty: 1.0 | Files: scene00078_horizontalOnly_rot_binaural.npz -> scene00078_horizontalOnly_AMBIX.npy
ID: scene00079 | Difficulty: 5.0 | Files: scene00079_horizontalOnly_rot_binaural.npz -> scene00079_horizontalOnly_AMBIX.npy
ID: scene00080 | Difficulty: 2.0 | Files: scene00080_horizontalOnly_rot_binaural.npz -> scene00080_horizontalOnly_AMBIX.npy
ID: scene00081 | Difficulty: 1.0 | Files: scene00081_horizontalOnly_rot_binaural.npz -> scene00081_horizontalOnly_AMBIX.npy
ID: scene00082 | Difficulty: 2.0 | Files: scene00082_horizontalOnly_rot_binaural.npz -> scene00082_horizontalOnly_AMBIX.npy
ID: scene00083 | Difficulty: 2.0 | Files: scene00083_horizontalOnly_rot_binaural.npz -> scene00083_horizontalOnly_AMBIX.npy
ID: scene00084 | Difficulty: 2.0 | Files: scene00084_horizontalOnly_rot_binaural.npz -> scene00084_horizontalOnly_AMBIX.npy
ID: scene00085 | Difficulty: 3.0 | Files: scene00085_horizontalOnly_rot_binaural.npz -> scene00085_horizontalOnly_AMBIX.npy
ID: scene00086 | Difficulty: 2.0 | Files: scene00086_horizontalOnly_rot_binaural.npz -> scene00086_horizontalOnly_AMBIX.npy
ID: scene00087 | Difficulty: 1.0 | Files: scene00087_horizontalOnly_rot_binaural.npz -> scene00087_horizontalOnly_AMBIX.npy
ID: scene00088 | Difficulty: 2.0 | Files: scene00088_horizontalOnly_rot_binaural.npz -> scene00088_horizontalOnly_AMBIX.npy
ID: scene00089 | Difficulty: 2.0 | Files: scene00089_horizontalOnly_rot_binaural.npz -> scene00089_horizontalOnly_AMBIX.npy
ID: scene00090 | Difficulty: 2.0 | Files: scene00090_horizontalOnly_rot_binaural.npz -> scene00090_horizontalOnly_AMBIX.npy
ID: scene00091 | Difficulty: 2.0 | Files: scene00091_horizontalOnly_rot_binaural.npz -> scene00091_horizontalOnly_AMBIX.npy
ID: scene00092 | Difficulty: 1.0 | Files: scene00092_horizontalOnly_rot_binaural.npz -> scene00092_horizontalOnly_AMBIX.npy
ID: scene00093 | Difficulty: 3.0 | Files: scene00093_horizontalOnly_rot_binaural.npz -> scene00093_horizontalOnly_AMBIX.npy
ID: scene00094 | Difficulty: 1.0 | Files: scene00094_horizontalOnly_rot_binaural.npz -> scene00094_horizontalOnly_AMBIX.npy
ID: scene00095 | Difficulty: 2.0 | Files: scene00095_horizontalOnly_rot_binaural.npz -> scene00095_horizontalOnly_AMBIX.npy
ID: scene00096 | Difficulty: 2.0 | Files: scene00096_horizontalOnly_rot_binaural.npz -> scene00096_horizontalOnly_AMBIX.npy
ID: scene00097 | Difficulty: 5.0 | Files: scene00097_horizontalOnly_rot_binaural.npz -> scene00097_horizontalOnly_AMBIX.npy
ID: scene00098 | Difficulty: 1.0 | Files: scene00098_horizontalOnly_rot_binaural.npz -> scene00098_horizontalOnly_AMBIX.npy
ID: scene00099 | Difficulty: 2.0 | Files: scene00099_horizontalOnly_rot_binaural.npz -> scene00099_horizontalOnly_AMBIX.npy
ID: scene00100 | Difficulty: 4.0 | Files: scene00100_horizontalOnly_rot_binaural.npz -> scene00100_horizontalOnly_AMBIX.npy
ID: scene00101 | Difficulty: 1.0 | Files: scene00101_horizontalOnly_rot_binaural.npz -> scene00101_horizontalOnly_AMBIX.npy
ID: scene00102 | Difficulty: 1.0 | Files: scene00102_horizontalOnly_rot_binaural.npz -> scene00102_horizontalOnly_AMBIX.npy
ID: scene00103 | Difficulty: 3.0 | Files: scene00103_horizontalOnly_rot_binaural.npz -> scene00103_horizontalOnly_AMBIX.npy
ID: scene00104 | Difficulty: 2.0 | Files: scene00104_horizontalOnly_rot_binaural.npz -> scene00104_horizontalOnly_AMBIX.npy
ID: scene00105 | Difficulty: 4.0 | Files: scene00105_horizontalOnly_rot_binaural.npz -> scene00105_horizontalOnly_AMBIX.npy
ID: scene00106 | Difficulty: 1.0 | Files: scene00106_horizontalOnly_rot_binaural.npz -> scene00106_horizontalOnly_AMBIX.npy
ID: scene00107 | Difficulty: 1.0 | Files: scene00107_horizontalOnly_rot_binaural.npz -> scene00107_horizontalOnly_AMBIX.npy
ID: scene00108 | Difficulty: 3.0 | Files: scene00108_horizontalOnly_rot_binaural.npz -> scene00108_horizontalOnly_AMBIX.npy
ID: scene00109 | Difficulty: 3.0 | Files: scene00109_horizontalOnly_rot_binaural.npz -> scene00109_horizontalOnly_AMBIX.npy
ID: scene00110 | Difficulty: 3.0 | Files: scene00110_horizontalOnly_rot_binaural.npz -> scene00110_horizontalOnly_AMBIX.npy
ID: scene00111 | Difficulty: 2.0 | Files: scene00111_horizontalOnly_rot_binaural.npz -> scene00111_horizontalOnly_AMBIX.npy
ID: scene00112 | Difficulty: 3.0 | Files: scene00112_horizontalOnly_rot_binaural.npz -> scene00112_horizontalOnly_AMBIX.npy
ID: scene00113 | Difficulty: 2.0 | Files: scene00113_horizontalOnly_rot_binaural.npz -> scene00113_horizontalOnly_AMBIX.npy
ID: scene00114 | Difficulty: 1.0 | Files: scene00114_horizontalOnly_rot_binaural.npz -> scene00114_horizontalOnly_AMBIX.npy
ID: scene00115 | Difficulty: 3.0 | Files: scene00115_horizontalOnly_rot_binaural.npz -> scene00115_horizontalOnly_AMBIX.npy
ID: scene00116 | Difficulty: 5.0 | Files: scene00116_horizontalOnly_rot_binaural.npz -> scene00116_horizontalOnly_AMBIX.npy
ID: scene00117 | Difficulty: 2.0 | Files: scene00117_horizontalOnly_rot_binaural.npz -> scene00117_horizontalOnly_AMBIX.npy
ID: scene00118 | Difficulty: 2.0 | Files: scene00118_horizontalOnly_rot_binaural.npz -> scene00118_horizontalOnly_AMBIX.npy
ID: scene00119 | Difficulty: 4.0 | Files: scene00119_horizontalOnly_rot_binaural.npz -> scene00119_horizontalOnly_AMBIX.npy
ID: scene00120 | Difficulty: 3.0 | Files: scene00120_horizontalOnly_rot_binaural.npz -> scene00120_horizontalOnly_AMBIX.npy
ID: scene00121 | Difficulty: 2.0 | Files: scene00121_horizontalOnly_rot_binaural.npz -> scene00121_horizontalOnly_AMBIX.npy
ID: scene00122 | Difficulty: 3.0 | Files: scene00122_horizontalOnly_rot_binaural.npz -> scene00122_horizontalOnly_AMBIX.npy
ID: scene00123 | Difficulty: 3.0 | Files: scene00123_horizontalOnly_rot_binaural.npz -> scene00123_horizontalOnly_AMBIX.npy
ID: scene00124 | Difficulty: 3.0 | Files: scene00124_horizontalOnly_rot_binaural.npz -> scene00124_horizontalOnly_AMBIX.npy
ID: scene00125 | Difficulty: 4.0 | Files: scene00125_horizontalOnly_rot_binaural.npz -> scene00125_horizontalOnly_AMBIX.npy
ID: scene00126 | Difficulty: 1.0 | Files: scene00126_horizontalOnly_rot_binaural.npz -> scene00126_horizontalOnly_AMBIX.npy
ID: scene00127 | Difficulty: 4.0 | Files: scene00127_horizontalOnly_rot_binaural.npz -> scene00127_horizontalOnly_AMBIX.npy
ID: scene00128 | Difficulty: 2.0 | Files: scene00128_horizontalOnly_rot_binaural.npz -> scene00128_horizontalOnly_AMBIX.npy
ID: scene00129 | Difficulty: 2.0 | Files: scene00129_horizontalOnly_rot_binaural.npz -> scene00129_horizontalOnly_AMBIX.npy
ID: scene00130 | Difficulty: 2.0 | Files: scene00130_horizontalOnly_rot_binaural.npz -> scene00130_horizontalOnly_AMBIX.npy
ID: scene00131 | Difficulty: 2.0 | Files: scene00131_horizontalOnly_rot_binaural.npz -> scene00131_horizontalOnly_AMBIX.npy
ID: scene00132 | Difficulty: 5.0 | Files: scene00132_horizontalOnly_rot_binaural.npz -> scene00132_horizontalOnly_AMBIX.npy
ID: scene00133 | Difficulty: 5.0 | Files: scene00133_horizontalOnly_rot_binaural.npz -> scene00133_horizontalOnly_AMBIX.npy
ID: scene00134 | Difficulty: 3.0 | Files: scene00134_horizontalOnly_rot_binaural.npz -> scene00134_horizontalOnly_AMBIX.npy
ID: scene00135 | Difficulty: 3.0 | Files: scene00135_horizontalOnly_rot_binaural.npz -> scene00135_horizontalOnly_AMBIX.npy
ID: scene00136 | Difficulty: 2.0 | Files: scene00136_horizontalOnly_rot_binaural.npz -> scene00136_horizontalOnly_AMBIX.npy
ID: scene00137 | Difficulty: 2.0 | Files: scene00137_horizontalOnly_rot_binaural.npz -> scene00137_horizontalOnly_AMBIX.npy
ID: scene00138 | Difficulty: 2.0 | Files: scene00138_horizontalOnly_rot_binaural.npz -> scene00138_horizontalOnly_AMBIX.npy
ID: scene00139 | Difficulty: 2.0 | Files: scene00139_horizontalOnly_rot_binaural.npz -> scene00139_horizontalOnly_AMBIX.npy
ID: scene00140 | Difficulty: 6.0 | Files: scene00140_horizontalOnly_rot_binaural.npz -> scene00140_horizontalOnly_AMBIX.npy
ID: scene00141 | Difficulty: 2.0 | Files: scene00141_horizontalOnly_rot_binaural.npz -> scene00141_horizontalOnly_AMBIX.npy
ID: scene00142 | Difficulty: 2.0 | Files: scene00142_horizontalOnly_rot_binaural.npz -> scene00142_horizontalOnly_AMBIX.npy
ID: scene00143 | Difficulty: 1.0 | Files: scene00143_horizontalOnly_rot_binaural.npz -> scene00143_horizontalOnly_AMBIX.npy
ID: scene00144 | Difficulty: 2.0 | Files: scene00144_horizontalOnly_rot_binaural.npz -> scene00144_horizontalOnly_AMBIX.npy
ID: scene00145 | Difficulty: 2.0 | Files: scene00145_horizontalOnly_rot_binaural.npz -> scene00145_horizontalOnly_AMBIX.npy
ID: scene00146 | Difficulty: 1.0 | Files: scene00146_horizontalOnly_rot_binaural.npz -> scene00146_horizontalOnly_AMBIX.npy
ID: scene00147 | Difficulty: 1.0 | Files: scene00147_horizontalOnly_rot_binaural.npz -> scene00147_horizontalOnly_AMBIX.npy
ID: scene00148 | Difficulty: 1.0 | Files: scene00148_horizontalOnly_rot_binaural.npz -> scene00148_horizontalOnly_AMBIX.npy
ID: scene00149 | Difficulty: 4.0 | Files: scene00149_horizontalOnly_rot_binaural.npz -> scene00149_horizontalOnly_AMBIX.npy
ID: scene00150 | Difficulty: 4.0 | Files: scene00150_horizontalOnly_rot_binaural.npz -> scene00150_horizontalOnly_AMBIX.npy
ID: scene00151 | Difficulty: 2.0 | Files: scene00151_horizontalOnly_rot_binaural.npz -> scene00151_horizontalOnly_AMBIX.npy
ID: scene00152 | Difficulty: 4.0 | Files: scene00152_horizontalOnly_rot_binaural.npz -> scene00152_horizontalOnly_AMBIX.npy
ID: scene00153 | Difficulty: 4.0 | Files: scene00153_horizontalOnly_rot_binaural.npz -> scene00153_horizontalOnly_AMBIX.npy
ID: scene00154 | Difficulty: 2.0 | Files: scene00154_horizontalOnly_rot_binaural.npz -> scene00154_horizontalOnly_AMBIX.npy
ID: scene00155 | Difficulty: 2.0 | Files: scene00155_horizontalOnly_rot_binaural.npz -> scene00155_horizontalOnly_AMBIX.npy
ID: scene00156 | Difficulty: 4.0 | Files: scene00156_horizontalOnly_rot_binaural.npz -> scene00156_horizontalOnly_AMBIX.npy
ID: scene00157 | Difficulty: 2.0 | Files: scene00157_horizontalOnly_rot_binaural.npz -> scene00157_horizontalOnly_AMBIX.npy
ID: scene00158 | Difficulty: 4.0 | Files: scene00158_horizontalOnly_rot_binaural.npz -> scene00158_horizontalOnly_AMBIX.npy
ID: scene00159 | Difficulty: 2.0 | Files: scene00159_horizontalOnly_rot_binaural.npz -> scene00159_horizontalOnly_AMBIX.npy
ID: scene00160 | Difficulty: 2.0 | Files: scene00160_horizontalOnly_rot_binaural.npz -> scene00160_horizontalOnly_AMBIX.npy
ID: scene00161 | Difficulty: 3.0 | Files: scene00161_horizontalOnly_rot_binaural.npz -> scene00161_horizontalOnly_AMBIX.npy
ID: scene00162 | Difficulty: 1.0 | Files: scene00162_horizontalOnly_rot_binaural.npz -> scene00162_horizontalOnly_AMBIX.npy
ID: scene00163 | Difficulty: 3.0 | Files: scene00163_horizontalOnly_rot_binaural.npz -> scene00163_horizontalOnly_AMBIX.npy
ID: scene00164 | Difficulty: 2.0 | Files: scene00164_horizontalOnly_rot_binaural.npz -> scene00164_horizontalOnly_AMBIX.npy
ID: scene00165 | Difficulty: 4.0 | Files: scene00165_horizontalOnly_rot_binaural.npz -> scene00165_horizontalOnly_AMBIX.npy
ID: scene00166 | Difficulty: 2.0 | Files: scene00166_horizontalOnly_rot_binaural.npz -> scene00166_horizontalOnly_AMBIX.npy
ID: scene00167 | Difficulty: 4.0 | Files: scene00167_horizontalOnly_rot_binaural.npz -> scene00167_horizontalOnly_AMBIX.npy
ID: scene00168 | Difficulty: 3.0 | Files: scene00168_horizontalOnly_rot_binaural.npz -> scene00168_horizontalOnly_AMBIX.npy
ID: scene00169 | Difficulty: 2.0 | Files: scene00169_horizontalOnly_rot_binaural.npz -> scene00169_horizontalOnly_AMBIX.npy
ID: scene00170 | Difficulty: 3.0 | Files: scene00170_horizontalOnly_rot_binaural.npz -> scene00170_horizontalOnly_AMBIX.npy
ID: scene00171 | Difficulty: 4.0 | Files: scene00171_horizontalOnly_rot_binaural.npz -> scene00171_horizontalOnly_AMBIX.npy
ID: scene00172 | Difficulty: 3.0 | Files: scene00172_horizontalOnly_rot_binaural.npz -> scene00172_horizontalOnly_AMBIX.npy
ID: scene00173 | Difficulty: 3.0 | Files: scene00173_horizontalOnly_rot_binaural.npz -> scene00173_horizontalOnly_AMBIX.npy
ID: scene00174 | Difficulty: 2.0 | Files: scene00174_horizontalOnly_rot_binaural.npz -> scene00174_horizontalOnly_AMBIX.npy
ID: scene00175 | Difficulty: 3.0 | Files: scene00175_horizontalOnly_rot_binaural.npz -> scene00175_horizontalOnly_AMBIX.npy
ID: scene00176 | Difficulty: 3.0 | Files: scene00176_horizontalOnly_rot_binaural.npz -> scene00176_horizontalOnly_AMBIX.npy
ID: scene00177 | Difficulty: 4.0 | Files: scene00177_horizontalOnly_rot_binaural.npz -> scene00177_horizontalOnly_AMBIX.npy
ID: scene00178 | Difficulty: 2.0 | Files: scene00178_horizontalOnly_rot_binaural.npz -> scene00178_horizontalOnly_AMBIX.npy
ID: scene00179 | Difficulty: 2.0 | Files: scene00179_horizontalOnly_rot_binaural.npz -> scene00179_horizontalOnly_AMBIX.npy
ID: scene00180 | Difficulty: 2.0 | Files: scene00180_horizontalOnly_rot_binaural.npz -> scene00180_horizontalOnly_AMBIX.npy
ID: scene00181 | Difficulty: 1.0 | Files: scene00181_horizontalOnly_rot_binaural.npz -> scene00181_horizontalOnly_AMBIX.npy
ID: scene00182 | Difficulty: 2.0 | Files: scene00182_horizontalOnly_rot_binaural.npz -> scene00182_horizontalOnly_AMBIX.npy
ID: scene00183 | Difficulty: 1.0 | Files: scene00183_horizontalOnly_rot_binaural.npz -> scene00183_horizontalOnly_AMBIX.npy
ID: scene00184 | Difficulty: 3.0 | Files: scene00184_horizontalOnly_rot_binaural.npz -> scene00184_horizontalOnly_AMBIX.npy
ID: scene00185 | Difficulty: 2.0 | Files: scene00185_horizontalOnly_rot_binaural.npz -> scene00185_horizontalOnly_AMBIX.npy
ID: scene00186 | Difficulty: 3.0 | Files: scene00186_horizontalOnly_rot_binaural.npz -> scene00186_horizontalOnly_AMBIX.npy
ID: scene00187 | Difficulty: 3.0 | Files: scene00187_horizontalOnly_rot_binaural.npz -> scene00187_horizontalOnly_AMBIX.npy
ID: scene00188 | Difficulty: 4.0 | Files: scene00188_horizontalOnly_rot_binaural.npz -> scene00188_horizontalOnly_AMBIX.npy
ID: scene00189 | Difficulty: 1.0 | Files: scene00189_horizontalOnly_rot_binaural.npz -> scene00189_horizontalOnly_AMBIX.npy
ID: scene00190 | Difficulty: 3.0 | Files: scene00190_horizontalOnly_rot_binaural.npz -> scene00190_horizontalOnly_AMBIX.npy
ID: scene00191 | Difficulty: 2.0 | Files: scene00191_horizontalOnly_rot_binaural.npz -> scene00191_horizontalOnly_AMBIX.npy
ID: scene00192 | Difficulty: 1.0 | Files: scene00192_horizontalOnly_rot_binaural.npz -> scene00192_horizontalOnly_AMBIX.npy
ID: scene00193 | Difficulty: 3.0 | Files: scene00193_horizontalOnly_rot_binaural.npz -> scene00193_horizontalOnly_AMBIX.npy
ID: scene00194 | Difficulty: 3.0 | Files: scene00194_horizontalOnly_rot_binaural.npz -> scene00194_horizontalOnly_AMBIX.npy
ID: scene00195 | Difficulty: 1.0 | Files: scene00195_horizontalOnly_rot_binaural.npz -> scene00195_horizontalOnly_AMBIX.npy
ID: scene00196 | Difficulty: 4.0 | Files: scene00196_horizontalOnly_rot_binaural.npz -> scene00196_horizontalOnly_AMBIX.npy
ID: scene00197 | Difficulty: 3.0 | Files: scene00197_horizontalOnly_rot_binaural.npz -> scene00197_horizontalOnly_AMBIX.npy
